V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,id,Q17_1,Q17_2,Q17_3,Q17_4,Q1,Q15_1,Q15_2,Q15_3,Q15_4,Q16,Q5_1,Q5_2,Q5_3,Q5_4,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,Q4_11,Q4_12,Q4_13,Q4_14,Q4_15,Q6_1,Q6_2,Q6_3,Q6_4,Q7,Q7_1,Q7_2,Q7_3,Q7_4,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9,Q8_10,Q8_11,Q8_12,Q8_13,Q8_14,Q8_15,Q9_1,Q9_2,Q9_3,Q9_4,Q10,Q11_1,Q11_2,Q11_3,Q11_4,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q12_9,Q12_10,Q12_11,Q12_12,Q12_13,Q12_14,Q12_15,Q13_1,Q13_2,Q13_3,Q13_4,Q14,LocationLatitude,LocationLongitude,LocationAccuracy,
R_diiH2yVj04yXv2h,Default Response Set,Anonymous,,,146.7.4.85,0,2017-08-28 23:18:08,2017-08-28 23:24:27,1,52561,5.504,5.504,7.242,1,1,168.969,168.969,170.875,1,1,8.123,78.643,80.169,16,5,5,5,5,2,5,5,4,7,7,3,7,7,5,7,2.424,2.424,3.854,1,1,5.613,27.455,29.685,15,5,5,4,3,3,3,4,4,1,7,7,7,6,3,5,2.262,2.262,3.346,1,3,2.526,45.434,52.176,2,4,6,4,2,5,4,6,5,4,3,3,7,6,4,4,1.886,1.886,3.429,1,2,37.215301513672,-93.298202514648,-1,
R_vCBjQla1D1ecztv,Default Response Set,Anonymous,,,146.7.4.92,0,2017-08-29 07:21:59,2017-08-29 07:28:52,1,52987,7.236,7.236,8.413,1,1,197.419,197.419,199.404,1,1,6.313,87.433,88.228,18,4,7,4,7,5,6,6,7,7,5,5,6,7,6,7,1.741,1.741,3.524,1,1,1.352,23.898,26.1,21,2,6,4,1,3,1,7,3,4,2,2,4,7,3,2,1.575,1.575,3.192,1,3,12.686,12.686,28.807,1,5,7,2,4,3,2,2,2,6,2,1,5,2,5,3,2.483,2.483,4.082,1,2,37.215301513672,-93.298202514648,-1,
R_Q6xAjVFa81mxG1P,Default Response Set,Anonymous,,,108.243.152.91,0,2017-08-29 12:17:53,2017-08-29 12:23:51,1,53272,7.06,7.06,8.84,1,1,240.774,240.774,244.466,1,1,8.234,43.312,44.666,16,2,2,2,1,2,2,2,1,1,2,2,1,1,1,1,2.28,2.28,3.932,1,1,3.609,16.963,19.306,15,3,7,4,4,2,1,6,4,5,3,2,2,3,6,5,1.738,1.738,2.933,1,3,6.408,22.218,24.166,15,3,1,2,4,5,3,5,4,3,2,4,3,5,5,2,3.061,4.108,4.58,2,2,37.148895263672,-93.26139831543,-1,
R_3lQAwadVz4EOPZX,Default Response Set,Anonymous,,,146.7.4.88,0,2017-08-29 12:48:20,2017-08-29 12:59:49,1,52012,48.377,100.651,104.386,11,1,393.714,393.714,394.478,1,1,18.489,142.064,142.9,19,6,7,5,3,4,7,6,7,5,5,4,6,6,5,7,1.589,1.589,2.568,1,1,5.167,19.863,21.03,17,4,5,2,5,4,2,4,6,1,2,3,2,3,7,7,2.147,2.147,3.978,1,3,0,0,12.414,0,2,4,4,4,6,5,7,6,5,6,5,6,6,7,4,1.536,1.536,2.667,1,2,37.215301513672,-93.298202514648,-1,
R_1NtgeqYKwYr8RPR,Default Response Set,Anonymous,,,146.7.4.88,0,2017-08-29 13:39:23,2017-08-29 13:47:35,1,52147,166.589,166.589,177.246,1,1,14.568,138.538,154.552,3,1,6.196,94,95.179,18,5,6,6,6,6,6,5,4,5,7,6,7,7,7,7,1.699,1.699,2.839,1,1,4.567,25.516,26.942,16,2,5,7,3,6,3,4,1,6,3,4,5,5,2,1,1.407,1.407,3.088,1,3,13.283,13.283,14.501,1,2,6,7,1,2,1,1,5,4,5,6,6,6,6,3,1.42,1.42,7.024,1,2,37.215301513672,-93.298202514648,-1,
R_3JacVrxcuZiV9bZ,Default Response Set,Anonymous,,,146.7.4.89,0,2017-08-29 13:38:34,2017-08-29 13:47:44,1,52095,24.547,100.819,102.393,3,1,14.525,225.672,298.087,4,1,6.876,64.784,66.112,22,7,7,5,6,6,6,7,7,5,4,5,6,7,5,7,1.462,2.262,3.772,2,1,6.709,29.959,38.092,16,1,5,2,3,1,6,3,5,6,2,3,7,2,5,4,2.089,2.089,4.096,1,3,0,0,29.402,0,7,5,3,6,3,4,1,5,4,7,5,2,2,7,6,2.047,2.047,3.694,1,2,37.215301513672,-93.298202514648,-1,
R_1JK5Yv1sgLRV8d2,Default Response Set,Anonymous,,,146.7.4.71,0,2017-08-29 13:57:00,2017-08-29 14:05:06,1,53260,6.649,71.866,73.935,2,1,260.885,260.885,264.221,1,1,6.511,56.355,57.878,18,6,6,4,3,5,5,6,6,7,5,4,6,3,6,7,2.175,2.175,3.699,1,1,7.179,28.252,30.06,17,1,4,6,4,2,5,7,5,3,2,5,6,3,4,2,2.513,2.513,3.969,1,3,41.222,41.222,43.4,1,2,2,1,4,3,3,7,1,3,3,7,1,5,1,7,2.342,2.342,4.096,1,2,37.215301513672,-93.298202514648,-1,
R_338CpcXxs4nRKn8,Default Response Set,Anonymous,,,146.7.4.88,0,2017-08-29 15:24:49,2017-08-29 15:31:04,1,52756,2.15,2.15,3.262,1,1,0,0,225.043,0,,9.775,80.947,81.711,17,5,7,5,7,5,7,4,6,5,7,7,6,7,3,7,1.31,1.31,2.201,1,1,11.395,27.808,33.294,16,4,3,6,5,3,3,6,6,3,7,1,1,4,2,2,2.092,2.092,3.643,1,3,0,0,13.536,0,3,5,7,1,3,3,3,5,5,3,3,5,5,3,1,5.262,5.262,8.971,1,2,37.215301513672,-93.298202514648,-1,
R_1i56DEb50a0hEd7,Default Response Set,Anonymous,,,146.7.4.89,0,2017-08-29 15:51:34,2017-08-29 15:57:25,1,51588,9.377,9.377,10.581,1,1,65.586,65.586,133.027,1,1,30.582,70.152,70.708,16,5,3,2,1,2,3,3,6,3,5,1,3,3,5,7,1.982,1.982,3.074,1,1,10.056,38.752,39.711,18,5,3,7,4,3,3,5,7,2,3,6,1,5,5,4,1.713,1.713,3.07,1,3,18.637,80.599,81.533,16,5,3,4,3,3,3,5,5,3,5,2,3,5,5,7,3.867,3.867,5.489,1,2,37.215301513672,-93.298202514648,-1,
R_QnUXwBVliexwxXP,Default Response Set,Anonymous,,,146.7.4.91,0,2017-08-29 16:00:41,2017-08-29 16:13:12,1,52135,4.242,4.242,6.24,1,1,35.18,340.857,410.114,17,1,6.888,65.353,66.567,17,6,5,4,7,5,6,4,6,6,6,5,6,5,5,7,1.927,1.927,5.351,1,1,1.964,16.764,19.785,15,4,6,3,4,4,5,6,1,3,4,6,4,2,4,3,2.044,2.044,3.398,1,3,0,0,92.753,0,1,3,5,5,7,2,1,2,7,3,4,5,7,7,6,3.241,3.241,4.928,1,2,37.215301513672,-93.298202514648,-1,
R_3CBhWdciJmBGL6E,Default Response Set,Anonymous,,,12.50.138.226,0,2017-08-29 16:08:09,2017-08-29 16:14:00,1,52132,1.871,1.871,3.343,1,1,2.362,61.293,228.41,5,1,5.588,62.093,63.014,15,6,6,6,7,7,7,7,7,7,7,6,7,7,7,7,1.755,1.755,3.125,1,1,2.176,20.786,30.186,19,3,3,5,7,1,5,2,3,4,3,3,6,7,1,2,2.02,2.02,3.213,1,3,0,0,11.05,0,1,6,1,4,4,3,1,1,7,5,3,6,7,6,4,2.936,2.936,3.971,1,2,37.206100463867,-93.303199768066,-1,
R_3HXOJsApBzKy4sG,Default Response Set,Anonymous,,,12.50.138.209,0,2017-08-29 16:19:53,2017-08-29 16:25:55,1,53115,2.123,4.221,6.008,2,1,172.728,181.336,182.525,3,1,9.423,101.008,103.536,19,7,7,4,7,5,7,6,7,4,4,7,7,7,7,7,3.324,3.324,5.471,1,1,7.989,32.709,34.442,16,3,5,5,4,1,4,2,4,7,2,3,6,6,7,3,2.724,2.724,4.506,1,3,14.207,14.207,16.212,1,7,6,7,6,4,6,1,2,2,3,2,6,1,1,4,3.24,3.24,5.357,1,2,37.206100463867,-93.303199768066,-1,
R_2whtZUej45ZIMUD,Default Response Set,Anonymous,,,146.7.4.87,0,2017-08-29 16:23:42,2017-08-29 16:29:54,1,51584,1.829,3.366,4.42,2,1,2.872,132.804,249.989,2,1,6.963,33.757,34.781,17,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,2.765,2.765,3.791,1,1,1.183,15.762,16.948,16,3,7,6,5,5,1,6,2,1,6,4,5,1,5,6,1.788,1.788,2.729,1,3,14.627,29.909,31.122,4,5,5,4,2,5,5,5,5,2,5,7,6,7,1,7,2.755,2.755,3.667,1,2,37.215301513672,-93.298202514648,-1,
R_1EXMidSiGfkEQ64,Default Response Set,Anonymous,,,146.7.4.91,0,2017-08-29 16:27:23,2017-08-29 16:38:47,1,52630,9.772,73.033,75.098,2,1,297.164,297.164,298.751,1,1,10.015,189.305,191.15,17,6,5,4,6,7,7,5,6,4,3,5,4,7,5,7,1.786,1.786,3.062,1,1,4.477,44.585,45.899,19,2,5,3,7,5,1,3,5,3,7,1,6,4,4,2,2.472,2.472,3.681,1,3,41.412,45.835,46.919,2,6,4,2,4,3,4,5,2,3,1,6,2,1,2,2,4.645,4.645,7.078,1,2,37.215301513672,-93.298202514648,-1,
R_9ZUBasJ1vonPnIR,Default Response Set,Anonymous,,,146.7.4.89,0,2017-08-29 17:14:48,2017-08-29 17:27:19,1,51587,39.399,304.153,304.165,12,1,265.395,265.395,267.981,1,1,9.618,82.673,86.686,18,6,5,4,7,6,5,5,6,6,7,6,7,7,7,7,2.076,2.076,5.549,1,1,4.458,21.527,23.673,15,6,4,3,2,2,1,5,2,5,7,6,4,3,1,3,2.224,2.224,3.851,1,3,0,0,49.375,0,6,4,7,5,3,2,5,1,1,1,7,3,3,2,2,2.367,2.367,4.455,1,2,37.215301513672,-93.298202514648,-1,
R_3R43QZ6LGEpJUDr,Default Response Set,Anonymous,,,146.7.4.82,0,2017-08-29 17:15:20,2017-08-29 17:31:41,1,51656,28.179,30.171,40.355,2,1,5.561,310.276,311.598,5,1,5.818,97.088,98.457,27,7,7,6,7,3,7,6,6,7,7,7,6,4,6,7,20.691,20.691,28.308,1,1,6.977,54.475,55.832,19,7,5,5,2,2,4,5,2,4,1,5,1,6,1,1,5.098,5.098,7.124,1,3,2.238,112.24,113.609,24,7,7,7,7,4,7,7,6,6,7,7,6,4,7,7,2.96,2.96,5.691,1,2,37.215301513672,-93.298202514648,-1,
R_3G2FfZEF7rs2Gcz,Default Response Set,Anonymous,,,12.50.138.238,0,2017-08-29 17:22:22,2017-08-29 17:31:56,1,53094,6.137,6.137,7.973,1,1,425.479,425.479,426.898,1,1,11.343,70.032,70.073,40,6,5,6,6,6,6,5,5,5,6,6,7,6,6,7,2.683,2.683,4.071,1,1,3.444,16.063,26.077,39,3,4,3,6,3,5,4,2,4,6,4,5,6,6,4,2.013,3.408,3.432,3,3,0,0,19.868,0,2,1,1,6,5,1,6,7,6,4,1,1,1,7,5,2.698,2.698,4.385,1,2,37.206100463867,-93.303199768066,-1,
R_3lAKxL1yrpJMJm1,Default Response Set,Anonymous,,,108.250.142.213,0,2017-08-29 17:27:12,2017-08-29 17:35:24,1,53875,5.742,5.742,7.288,1,1,184.895,184.895,187.087,1,1,12.082,57.944,58.897,15,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,3.11,3.11,4.501,1,1,5.876,23.221,24.579,15,6,6,5,6,7,4,5,6,6,6,4,4,5,4,5,1.705,1.705,2.964,1,3,108.151,108.151,112.525,1,2,6,7,3,3,1,5,6,2,5,7,5,6,1,6,3.317,3.317,4.598,1,2,37.218994140625,-93.317596435547,-1,
R_2PpWPLjp9Qlgpw7,Default Response Set,Anonymous,,,173.17.201.202,0,2017-08-29 18:06:15,2017-08-29 18:16:13,1,53482,1.245,31.762,33.824,4,1,7.071,327.275,333.142,3,1,18.5,101.712,103.447,25,7,6,6,6,6,7,6,6,7,6,6,7,7,7,7,2.599,2.599,4.925,1,1,6.091,28.382,31.503,17,2,6,5,6,3,5,4,5,4,1,2,7,3,4,4,2.314,2.314,3.835,1,3,66.015,66.015,67.586,1,2,7,6,1,2,5,2,4,1,5,3,2,6,6,4,5.225,5.225,7.591,1,2,37.170196533203,-93.329696655273,-1,
R_24CbvnrXETgIDlM,Default Response Set,Anonymous,,,207.160.232.251,0,2017-08-29 18:56:36,2017-08-29 19:04:53,1,52097,6.54,6.54,10.192,1,1,298.521,298.521,300.063,1,1,8.848,58.365,61.909,20,7,5,7,7,4,7,6,7,6,6,7,7,7,6,7,1.458,1.458,2.597,1,1,6.624,14.795,24.288,14,3,3,5,3,2,5,4,4,4,5,7,3,2,4,6,1.546,1.546,8.872,1,3,9.169,9.169,26.21,1,4,1,6,3,1,5,5,6,6,4,2,7,7,3,6,2.284,2.284,4.03,1,2,37.299896240234,-93.308403015137,-1,
R_PTaHtMgxxXWtpjX,Default Response Set,Anonymous,,,68.180.78.27,0,2017-08-29 19:45:26,2017-08-29 19:56:51,1,51642,48.066,49.229,51.185,2,1,384.273,384.273,440.544,1,1,8.604,78.549,80.104,16,4,5,7,6,4,5,7,5,5,6,4,6,6,5,7,3.9,3.9,6.087,1,1,4.036,44.63,46.376,16,3,4,2,5,3,6,4,5,7,7,1,3,6,1,2,1.656,1.656,3.391,1,3,0,0,45.433,0,5,5,2,4,2,7,7,2,3,5,5,3,3,4,4,2.397,2.397,4.081,1,2,37.206100463867,-93.303199768066,-1,
R_21nbHSEaWiwuAZ0,Default Response Set,Anonymous,,,173.19.49.187,0,2017-08-29 20:37:28,2017-08-29 20:45:12,1,52252,4.792,4.792,5.873,1,1,255.057,255.057,257.254,1,1,11.369,78.743,79.959,18,5,7,6,5,6,3,5,4,3,5,4,6,6,5,7,1.514,1.514,2.626,1,1,6.676,20.643,26.88,15,3,2,5,2,4,3,3,4,7,3,4,5,2,6,4,2.401,3.241,4.777,2,3,39.824,39.824,44.871,1,4,7,7,6,1,5,1,5,4,6,1,2,6,1,6,1.759,1.759,3.801,1,2,37.148895263672,-93.26139831543,-1,
R_3pbV0tES5QYsUyI,Default Response Set,Anonymous,,,146.7.4.73,0,2017-08-29 21:00:18,2017-08-29 21:07:36,1,53817,28.494,28.494,30.002,1,1,249.101,249.101,258.535,1,1,6.479,60.031,61.207,16,6,6,5,6,5,6,6,5,6,5,6,6,7,6,7,2.918,2.918,4.227,1,1,2.637,22.299,23.139,15,4,3,4,5,6,3,3,3,5,7,6,2,5,4,5,1.721,1.721,2.993,1,3,0,0,47.57,0,3,3,6,1,5,1,4,1,6,5,1,7,2,6,4,1.837,1.837,2.997,1,2,37.215301513672,-93.298202514648,-1,
R_1go37TxFDKu1xqr,Default Response Set,Anonymous,,,146.7.4.86,0,2017-08-29 21:09:06,2017-08-29 21:18:49,1,53890,16.086,67.874,70.485,2,1,289.693,298.495,300.032,2,1,6.431,83.253,111.562,16,5,6,5,7,6,5,5,5,5,7,5,6,7,6,7,1.657,1.657,3.533,1,1,4.506,29.5,31.287,16,1,2,7,4,3,3,5,4,5,3,4,1,7,5,2,1.904,1.904,4.092,1,3,38.963,49.07,51.742,2,3,3,3,1,3,1,3,7,1,4,6,4,5,1,7,1.771,1.771,4.556,1,2,37.215301513672,-93.298202514648,-1,
R_2rjhF1phVU5SDPD,Default Response Set,Anonymous,,,146.7.116.15,0,2017-08-29 21:15:49,2017-08-29 21:24:13,1,51653,2.73,106.363,133.322,5,1,267.898,267.898,295.493,1,1,0,0,13.763,0,7,5,2,3,7,2,7,4,5,3,6,5,7,4,3,2.198,2.198,3.362,1,2,6.46,24.748,33.896,17,5,5,6,6,6,6,5,5,5,6,6,5,5,6,5,1.887,1.887,3.194,1,1,0.486,9.573,10.266,19,6,4,3,4,3,4,3,7,5,3,4,4,2,2,3,4.422,4.422,6.057,1,3,37.215301513672,-93.298202514648,-1,
R_3Oiy9g8lhE9ofwX,Default Response Set,Anonymous,,,146.7.4.92,0,2017-08-29 21:20:09,2017-08-29 21:26:41,1,52632,18.018,20.732,22.132,4,1,32.741,150.829,155.092,5,1,6.464,77.9,79.049,16,7,7,7,7,5,7,6,7,6,5,7,7,7,6,7,3.279,3.279,6.279,1,1,44.529,64.896,66.777,16,3,7,4,7,4,2,2,3,2,7,7,5,5,2,4,6.453,6.453,7.703,1,3,23.119,28.445,29.857,2,6,3,2,3,4,5,2,6,1,1,5,6,5,6,2,6.384,6.384,7.865,1,2,37.215301513672,-93.298202514648,-1,
R_1PbLsY7W8eS01JI,Default Response Set,Anonymous,,,72.105.118.139,0,2017-08-29 16:21:26,2017-08-29 22:07:30,1,51512,10.588,15.683,17.756,3,1,8.055,20562.448,20564.17,4,1,19.542,92.073,93.28,18,7,7,6,6,7,7,5,7,6,6,5,5,7,6,7,2.145,2.145,5.714,1,1,3.452,38.005,39.677,17,4,5,2,4,7,4,2,3,1,6,5,2,3,3,1,1.839,1.839,3.721,1,3,27.728,27.728,29.434,1,5,2,1,1,5,2,5,7,7,1,3,5,1,7,6,3.537,3.537,5.09,1,2,37.331100463867,-92.881797790527,-1,
R_2QDU7jH1ib8LhLu,Default Response Set,Anonymous,,,146.7.4.87,0,2017-08-28 11:36:59,2017-08-30 01:32:06,1,52991,3.282,32.336,33.957,2,1,5.548,78.968,270.968,8,1,23.914,23.914,26.456,1,6,6,1,6,1,2,7,3,7,3,4,2,6,6,3,2.367,2.367,4.354,1,2,1.748,43.002,44.967,17,3,6,3,1,5,2,7,5,1,6,4,5,2,3,4,2.242,2.242,3.889,1,3,5.119,76.05,77.478,18,7,7,6,5,4,7,7,4,6,6,5,7,7,7,7,2.319,2.319,5.412,1,1,37.215301513672,-93.298202514648,-1,
R_3Jkj2ufNKUBRELB,Default Response Set,Anonymous,,,47.213.156.54,0,2017-08-30 09:16:32,2017-08-30 09:23:08,1,53799,4.513,4.513,5.649,1,1,21.36,59.007,204.38,2,1,12.545,46.575,47.222,16,6,5,6,7,4,6,5,5,5,7,5,6,7,6,7,0.96,1.229,2.045,2,1,21.89,48.518,50.295,17,4,2,5,3,4,3,3,5,3,7,6,4,2,1,4,1.779,1.779,2.664,1,3,4.311,61.43,64.362,19,6,4,7,7,4,5,4,5,5,7,5,6,7,6,7,10.652,10.652,15.635,1,1,37.027099609375,-93.319297790527,-1,
R_vvQhmyJJSAxmQHT,Default Response Set,Anonymous,,,146.7.4.78,0,2017-08-30 09:27:45,2017-08-30 09:35:16,1,53506,9.54,9.54,10.883,1,1,313.858,313.858,315.01,1,1,5.782,45.944,47.133,15,6,7,4,7,4,5,5,5,6,7,6,7,7,5,7,1.95,1.95,3.209,1,1,3.227,16.879,18.516,16,4,5,5,3,5,1,3,7,4,3,3,5,5,3,2,1.57,1.57,2.452,1,3,39.104,39.104,43.337,1,6,1,6,2,3,5,6,7,3,4,2,4,5,7,3,1.597,1.597,2.711,1,2,37.215301513672,-93.298202514648,-1,
R_2aPnSRuCBtJ3PhX,Default Response Set,Anonymous,,,146.7.4.89,0,2017-08-30 10:51:29,2017-08-30 11:03:44,1,53044,0,0,5.045,0,,256.607,274.766,275.527,4,,17.282,112.542,113.456,23,5,4,5,4,6,7,7,6,6,6,3,7,7,6,7,55.022,56.245,58.426,2,1,3.84,46.459,47.767,33,5,6,6,7,3,5,5,4,2,1,2,4,2,4,3,2.745,2.935,5.215,2,3,99.864,114.543,180.19,7,4,2,7,5,7,1,3,4,7,1,1,6,6,2,2,2.486,2.486,4.449,1,2,37.215301513672,-93.298202514648,-1,
R_VLwQoVdnLkzPqU1,Default Response Set,Anonymous,,,146.7.4.84,0,2017-08-30 15:31:58,2017-08-30 15:41:36,1,51643,1.921,3.121,4.648,3,1,267.699,267.699,270.564,1,1,5.822,82.881,84.115,18,4,6,4,5,6,7,4,6,4,6,2,4,2,4,7,2.688,2.688,4.1,1,1,4.53,34.429,36.202,18,3,5,1,2,7,5,3,5,4,6,1,2,1,4,4,2.637,2.637,4.292,1,3,114.001,119.709,120.535,2,7,6,1,7,7,6,5,7,7,4,7,2,1,7,2,2.391,2.391,4.308,1,2,37.215301513672,-93.298202514648,-1,
R_cAYSqvurzyTDjIB,Default Response Set,Anonymous,,,68.180.78.22,0,2017-08-30 18:36:29,2017-08-30 18:44:09,1,54186,39.986,39.986,41.272,1,1,283.092,283.092,301.815,1,1,7.435,43.788,46.723,15,6,7,5,5,6,7,6,6,7,7,5,7,6,6,7,2.23,2.23,3.809,1,1,9.085,28.673,36.191,17,4,5,4,4,3,1,2,4,3,7,7,3,1,5,2,1.844,1.844,3.356,1,3,0,0,15.477,0,1,6,2,6,6,7,3,5,3,6,5,7,2,7,5,2.221,2.221,3.616,1,2,37.206100463867,-93.303199768066,-1,
R_6qWG6fwpoioCqOZ,Default Response Set,Anonymous,,,146.7.4.87,0,2017-08-30 20:13:17,2017-08-30 20:21:08,1,53141,170.989,170.989,172.189,1,1,24.906,53.45,135.643,6,1,3.641,72.665,73.46,17,6,7,6,6,5,7,7,6,5,7,7,6,6,6,7,10.816,10.816,11.866,1,1,4.882,29.824,30.566,19,5,5,6,5,6,7,6,7,4,6,4,5,7,6,5,2.143,2.143,3.062,1,3,6.058,16.382,17.188,3,4,1,4,1,3,1,2,6,7,7,3,1,7,4,5,1.656,1.656,2.642,1,2,37.215301513672,-93.298202514648,-1,
R_3nDe8pBRWdA1Y6C,Default Response Set,Anonymous,,,107.77.207.228,0,2017-08-30 21:29:48,2017-08-30 21:36:18,1,53526,0.818,17.719,19.053,11,,245.4,246.097,247.159,2,,1.526,58.73,59.336,52,5,7,5,7,2,7,6,3,7,7,4,4,7,5,7,1.372,1.382,2.074,2,1,2.416,25.287,26.01,41,6,5,2,7,2,6,3,5,6,6,2,6,6,6,2,1.079,1.093,1.815,2,3,6.896,22.569,23.338,46,5,5,1,6,2,5,5,3,2,7,6,6,1,6,2,2.942,2.959,4.44,2,2,41.848297119141,-87.651702880859,-1,
R_wRzOPLwxnZSxLvr,Default Response Set,Anonymous,,,64.22.236.4,0,2017-08-30 22:57:46,2017-08-30 23:04:46,1,54190,8.432,8.432,10.27,1,1,0,0,258.192,0,,14.381,21.913,22.596,2,1,2,2,6,7,4,2,5,5,4,4,6,3,2,2,2.516,3.703,4.089,2,2,8.248,48.932,49.717,15,7,7,5,5,1,6,6,5,5,7,2,7,6,5,7,1.648,2.127,3.846,2,1,1.537,35.639,36.827,19,3,6,1,1,2,4,6,3,4,5,7,2,3,1,2,1.19,1.19,2.872,1,3,37.614593505859,-93.084999084473,-1,
R_29jiHKBxFYXkLl0,Default Response Set,Anonymous,,,12.155.26.51,0,2017-08-31 08:04:24,2017-08-31 08:10:35,1,53255,3.55,3.55,4.987,1,1,161.576,161.576,163.162,1,1,13.957,57.962,58.876,16,6,7,6,7,6,6,6,6,6,7,5,6,6,5,7,6.025,6.025,9.578,1,1,10.267,45.201,48.013,18,3,5,3,4,6,7,6,5,5,4,4,1,3,2,4,4.298,4.298,6.954,1,3,32.588,32.588,38.192,1,5,2,3,1,7,7,3,3,3,5,6,5,1,5,1,2.273,2.273,3.255,1,2,37.170196533203,-93.329696655273,-1,
R_2fkVNKB2xBQ6sjd,Default Response Set,Anonymous,,,173.19.0.63,0,2017-08-31 11:02:29,2017-08-31 11:11:11,1,53483,7.563,96.557,98.678,9,1,4.592,4.592,298.063,1,,7.596,61.157,62.088,44,6,7,6,6,7,6,6,6,5,6,6,6,7,6,6,1.431,1.437,2.422,2,1,8.834,32.786,33.627,28,5,4,1,2,7,1,3,7,7,2,6,3,1,1,7,2.275,2.289,3.419,2,3,12.519,13.062,14.566,2,3,2,6,5,2,6,2,1,6,2,3,3,1,1,4,1.647,1.671,2.968,2,2,37.148895263672,-93.26139831543,-1,
R_dihl16ItwqgXoLD,Default Response Set,Anonymous,,,69.29.85.178,0,2017-08-31 11:46:20,2017-08-31 11:54:43,1,52495,10.017,58.234,61.471,2,1,2.811,309.353,317.095,3,1,6.985,50.597,52.867,15,6,6,5,5,6,7,6,6,6,5,5,7,6,6,7,1.766,1.766,2.799,1,1,3.734,28.588,31.715,17,5,3,1,2,2,5,3,4,7,1,5,6,5,2,5,3.636,3.636,4.998,1,3,0,0,21.281,0,5,7,7,4,5,4,6,5,4,4,7,7,4,4,6,1.924,1.924,3.123,1,2,37.331100463867,-92.881797790527,-1,
R_7ZCaWocOtnSnjVL,Default Response Set,Anonymous,,,146.7.4.83,0,2017-08-31 11:52:50,2017-08-31 11:58:31,1,52580,3.48,3.48,5.331,1,1,174.189,174.189,175.624,1,1,10.875,62.238,63.879,15,3,4,3,3,5,5,5,4,5,5,3,7,6,3,7,1.961,1.961,3.999,1,1,6.715,27.272,29.01,15,4,3,5,4,2,4,3,1,6,6,7,1,2,3,5,2.178,2.178,3.663,1,3,0,0,50.487,0,1,7,7,3,6,4,3,4,6,6,5,4,6,2,1,2.007,2.007,3.727,1,2,37.215301513672,-93.298202514648,-1,
R_1i4crSurCKLWANa,Default Response Set,Anonymous,,,146.7.4.87,0,2017-08-31 12:46:46,2017-08-31 12:53:56,1,52540,17.27,17.27,18.519,1,1,132.133,210.616,330.007,2,1,2.627,30.713,31.637,15,6,6,5,3,6,5,5,4,5,7,5,6,5,6,7,2.34,2.34,3.378,1,1,3.459,22.985,23.883,17,4,3,6,1,3,5,3,1,2,6,6,6,7,2,1,1.821,1.821,2.843,1,3,0,0,10.784,0,6,7,1,2,4,2,6,7,4,3,4,6,3,5,6,1.584,1.584,2.686,1,2,37.215301513672,-93.298202514648,-1,
R_2ZZG3FJ9Vbmh3AC,Default Response Set,Anonymous,,,146.7.4.88,0,2017-08-31 12:25:08,2017-08-31 13:21:47,1,52555,245.021,246.165,248.19,2,1,2155.358,2155.358,2175.44,1,1,710.265,857.359,858.997,16,6,6,7,6,6,7,7,7,5,7,7,7,7,7,7,6.749,6.749,8.996,1,1,2.612,40.336,42.457,16,4,3,6,1,4,7,2,1,2,3,3,6,5,3,7,2.854,2.854,4.533,1,3,30.228,30.228,37.869,1,1,6,4,6,3,1,7,5,1,5,1,5,6,3,2,4.673,4.673,6.554,1,2,37.215301513672,-93.298202514648,-1,
R_3MQeHv7CEzYVsTP,Default Response Set,Anonymous,,,162.205.163.88,0,2017-08-31 13:25:08,2017-08-31 13:32:03,1,52618,12.742,12.742,14.145,1,1,265.755,265.755,267.514,1,1,11.44,80.344,81.231,16,5,5,3,3,3,6,6,5,5,3,6,5,7,6,7,1.447,1.447,2.869,1,1,3.659,19.019,20.122,15,5,6,6,7,6,5,4,4,3,6,7,5,3,6,2,5.313,5.313,6.327,1,3,0,0,13.077,0,2,6,7,5,5,2,3,4,4,7,5,2,3,1,2,2.03,2.03,3.276,1,2,37.299896240234,-93.308403015137,-1,
R_C8HEunCkNRVqRFL,Default Response Set,Anonymous,,,146.7.112.238,0,2017-08-31 13:42:46,2017-08-31 13:49:20,1,53573,2.188,2.467,3.564,2,1,1.372,1.372,341.925,1,1,2.3,17.963,20.166,16,7,7,7,7,7,6,7,6,7,7,7,7,7,7,7,1.723,2.875,3.59,2,1,2.224,9.88,11.435,19,7,7,6,7,5,6,7,7,6,6,6,7,6,6,7,1.722,1.722,2.516,1,3,0,0,3.762,0,4,5,2,4,7,5,7,3,1,3,6,2,4,4,3,3.353,3.353,4.54,1,2,37.215301513672,-93.298202514648,-1,
